CSI Num,Symbol,Company,Exchange,01/25/2010,01/26/2010,01/27/2010,01/28/2010,01/29/2010,02/01/2010,02/02/2010,02/03/2010,02/04/2010,02/05/2010,02/08/2010,02/09/2010,02/10/2010,02/11/2010,02/12/2010,02/16/2010,02/17/2010,02/18/2010,02/19/2010,02/22/2010,02/23/2010,02/24/2010,02/25/2010,02/26/2010,03/01/2010,03/02/2010,03/03/2010,03/04/2010,03/05/2010,03/08/2010,03/09/2010,03/10/2010,03/11/2010,03/12/2010,03/15/2010,03/16/2010,03/17/2010,03/18/2010,03/19/2010,03/22/2010,03/23/2010,03/24/2010,03/25/2010,03/26/2010,03/29/2010,03/30/2010,03/31/2010,04/01/2010,04/05/2010,04/06/2010,04/07/2010,04/08/2010,04/09/2010,04/12/2010,04/13/2010,04/14/2010,04/15/2010,04/16/2010,04/19/2010,04/20/2010,04/21/2010,04/22/2010,04/23/2010,04/26/2010,04/27/2010,04/28/2010,04/29/2010,04/30/2010,05/03/2010,05/04/2010,05/05/2010,05/06/2010,05/07/2010,05/10/2010,05/11/2010,05/12/2010,05/13/2010,05/14/2010,05/17/2010,05/18/2010,05/19/2010,05/20/2010,05/21/2010,05/24/2010,05/25/2010,05/26/2010,05/27/2010,05/28/2010,06/01/2010,06/02/2010,06/03/2010,06/04/2010,06/07/2010,06/08/2010,06/09/2010,06/10/2010,06/11/2010,06/14/2010,06/15/2010,06/16/2010,06/17/2010,06/18/2010,06/21/2010,06/22/2010,06/23/2010,06/24/2010,06/25/2010,06/28/2010,06/29/2010,06/30/2010,07/01/2010,07/02/2010,07/06/2010,07/07/2010,07/08/2010,07/09/2010,07/12/2010,07/13/2010,07/14/2010,07/15/2010,07/16/2010,07/19/2010,07/20/2010,07/21/2010,07/22/2010,07/23/2010,07/26/2010,07/27/2010,07/28/2010,07/29/2010,07/30/2010,08/02/2010,08/03/2010,08/04/2010,08/05/2010,08/06/2010,08/09/2010,08/10/2010,08/11/2010,08/12/2010,08/13/2010,08/16/2010,08/17/2010,08/18/2010,08/19/2010,08/20/2010,08/23/2010,08/24/2010,08/25/2010,08/26/2010,08/27/2010,08/30/2010,08/31/2010,09/01/2010,09/02/2010,09/03/2010,09/07/2010,09/08/2010,09/09/2010,09/10/2010,09/13/2010,09/14/2010,09/15/2010,09/16/2010,09/17/2010,09/20/2010,09/21/2010,09/22/2010,09/23/2010,09/24/2010,09/27/2010,09/28/2010,09/29/2010,09/30/2010,10/01/2010,10/04/2010,10/05/2010,10/06/2010,10/07/2010,10/08/2010,10/11/2010,10/12/2010,10/13/2010,10/14/2010,10/15/2010,10/18/2010,10/19/2010,10/20/2010,10/21/2010,10/22/2010,10/25/2010,10/26/2010,10/27/2010,10/28/2010,10/29/2010,11/01/2010,11/02/2010,11/03/2010,11/04/2010,11/05/2010,11/08/2010,11/09/2010,11/10/2010,11/11/2010,11/12/2010,11/15/2010,11/16/2010,11/17/2010,11/18/2010,11/19/2010,11/22/2010,11/23/2010,11/24/2010,11/26/2010,11/29/2010,11/30/2010,12/01/2010,12/02/2010,12/03/2010,12/06/2010,12/07/2010,12/08/2010,12/09/2010,12/10/2010,12/13/2010,12/14/2010,12/15/2010,12/16/2010,12/17/2010,12/20/2010,12/21/2010,12/22/2010,12/23/2010
5274,AFG,Amer Financial Group,NYSE,22.56705969,22.37673509,22.67581661,22.63050123,22.48549201,22.75738429,22.96583505,22.77551045,22.13203204,22.05046435,22.02327512,22.27704126,22.49455508,22.65769046,22.76644737,23.11990734,23.08365504,23.11990734,23.24679041,23.53680885,23.35554732,23.38273655,23.49149346,23.44617808,23.92652112,24.3162334,24.24372879,24.46124262,24.46124262,24.76938721,24.6968826,24.59718876,24.7331349,24.77845028,24.86001797,24.8872072,25.33129793,25.94758711,25.31317178,25.42192869,25.75726251,25.76632559,25.36755023,25.79351481,25.86601942,25.8388302,25.78445174,25.79351481,26.28292093,26.56387629,26.58200244,26.30104708,26.291984,26.19229017,26.37260007,26.77328875,26.88256748,26.436346,26.75507562,26.96452652,27.13755118,27.47449393,27.47449393,27.34700208,26.72775594,26.95541996,27.31968239,26.80060843,26.9463134,25.94459171,25.71692769,24.65146008,24.53307479,26.02655076,26.41813287,26.13582949,26.19046885,25.92637859,25.78978018,25.44373087,25.40730463,24.1597058,24.61503384,24.68788632,24.48754199,24.63324696,25.60764896,25.40730463,24.84269786,25.5530096,25.61675552,24.74252569,24.36005013,24.4146895,24.55128791,25.24338653,25.49837023,25.41641119,26.2268951,26.09029669,26.29064102,26.08119013,26.09940325,25.81709986,25.94459171,25.77156706,25.89905891,25.93548515,25.00661595,24.8791241,24.49664855,24.61503384,24.70609944,25.8079933,26.062977,26.25421478,26.00833764,26.73856962,26.4731971,26.42744321,25.62217486,26.06141214,26.43659399,26.0797137,26.87583127,27.03139448,27.37912399,27.18695768,27.00394215,27.12290225,26.96733904,27.33337011,27.15035458,27.22356079,27.07714836,27.01309292,27.31506856,27.13205302,26.22612613,26.37253855,26.30848312,26.40914166,26.66536341,26.79347428,26.4731971,26.64706186,26.57385564,26.13461836,26.28103079,26.08886447,26.65621263,25.96990438,26.32678467,27.21441001,26.67451419,27.22356079,26.72026807,27.07714836,26.99479137,27.03139448,27.34252089,27.27846545,27.73600429,27.6536473,27.64449652,27.87326594,27.84581361,27.61704419,27.12290225,27.91901982,27.62619497,27.81836128,27.89156749,27.98307526,27.90986904,27.71770273,28.31250322,28.29420167,28.01052759,28.321654,28.25759856,28.29420167,28.64653379,28.61893598,28.63733452,28.77532361,28.17737091,28.47174762,28.49934544,28.3797549,28.44414981,28.61893598,28.2785629,28.23256654,28.13137455,28.30616072,28.51774398,28.79372215,29.19849013,29.15249377,28.90411342,28.29696145,28.73852652,28.63733452,28.18657018,28.60973671,27.8829942,28.00258474,28.64653379,28.57293962,28.58213889,28.28776218,28.72012797,28.49014617,28.62813525,28.30616072,28.79372215,29.28128358,29.28128358,29.23528722,29.40087412,29.5388632,29.57566029,29.77804428,29.93443191,29.87923628,29.7044501,29.89763482,29.76884501,29.79644283,29.870037,29.91603337,29.88843555
5102,BMY,Bristol Myers Squibb Co,NYSE,20.6607723,20.63529662,20.63529662,20.46545879,20.68624797,20.70323176,21.04290742,20.80513446,20.37204798,20.3550642,20.34657231,20.59283716,20.31260474,20.28712907,20.30411285,20.5588696,20.81362635,21.09385877,21.18726958,20.9579885,20.75418311,20.98346418,20.78815067,20.81362635,20.71172365,20.99195607,20.6607723,20.77965878,21.467502,21.49297768,21.39956687,21.78170199,22.04495063,21.98550739,22.03645874,22.07042631,22.06193441,22.13836144,22.08741009,22.48652899,22.74977763,22.66485872,22.74128574,22.66485872,22.92810736,22.99685731,22.94529485,23.16013843,23.00545105,22.67029506,22.81638869,22.48982645,22.55857639,22.59295137,22.32654532,22.08592051,21.77654574,21.89685815,22.18045168,21.85388944,21.5702959,21.00310884,21.26092114,21.0546713,20.80545274,20.91717141,21.80232698,21.75076451,21.59607713,21.71638954,21.53592093,20.86560895,20.91717141,20.74529654,20.94295264,21.00310884,20.62498413,20.24685942,20.36717183,20.23826568,20.37576557,19.84295348,19.73123482,19.75701605,19.64529738,19.52498498,20.05779707,19.9460784,19.78279728,19.76560979,19.66248487,19.28436016,20.50467172,20.88279643,20.74529654,21.17498371,21.55310842,21.73357703,22.0257643,22.24060789,22.2234204,22.15467045,21.86248318,21.86248318,21.69060831,21.78513949,21.97420184,21.97420184,21.73357703,21.7074654,21.55079564,21.48986851,21.96858167,22.45599869,22.26451343,22.28192118,21.98598942,22.02950879,21.83802353,22.19488243,21.90765454,21.62042665,21.77709641,21.54209177,21.69876153,21.45505301,21.73357703,22.03821267,21.86413516,21.82931966,21.69005765,22.22099405,22.35155219,22.65618783,22.96082347,22.95211959,23.07397385,23.20453198,22.84767309,22.91730409,22.90860022,22.87378471,23.14360485,22.87378471,22.68229945,23.01304672,23.04786222,22.64748395,22.6997072,22.49951807,22.73452271,22.49951807,22.6997072,22.98693509,23.00434285,23.13490098,23.1610126,23.28286686,23.38731337,23.54398312,23.63972575,23.46564824,23.50916762,23.45694437,23.77028389,24.20547766,24.18806991,24.21418153,24.09232728,24.04010403,24.02269627,24.30992416,24.09861008,23.86968649,24.0193673,23.53510586,23.89610075,23.94012452,24.03697681,23.91371026,24.08980533,23.97534354,24.07219582,24.22187663,23.94892927,24.06339107,23.63195815,23.67598192,23.86968649,23.73761519,23.91371026,23.64956766,23.65837241,23.76402945,23.68478667,23.83446748,23.68478667,23.46466784,23.6231534,23.49988685,23.30618228,23.1124777,23.16530622,23.13008721,22.90996837,23.17411097,22.92757788,22.85713985,23.17411097,22.8483351,22.80431133,22.50494972,22.5841925,22.49614496,22.38168317,22.22319761,22.50494972,22.75148281,22.81311608,22.79550658,22.74267806,22.80431133,22.80431133,22.92757788,23.12128245,23.3766203,23.46466784,23.52630111,23.32379178,23.34140129,23.20932999,23.19172048,23.17411097
5328,GPC,Genuine Parts Co,NYSE,33.35944182,33.33331171,33.15040093,33.06330056,32.81941953,33.15911097,34.09108493,33.80365371,32.96749016,32.8368396,32.19229686,32.72360912,32.6713489,33.01975038,33.26363141,35.49340089,35.44985071,35.38888045,35.73728193,35.43243064,34.74433771,35.17112952,35.10144923,35.15370945,35.54566112,35.6588916,35.46533235,35.37735088,35.54451568,35.61490086,35.68528604,35.70288234,35.98442305,35.86124899,35.63249716,36.03721194,36.30115636,36.44192672,36.60029337,37.7176581,37.9024192,37.28654888,37.2161637,36.8466415,37.00500816,37.45371368,37.16337481,37.532897,37.87602475,37.7352544,37.78804328,37.82323587,38.0519877,38.02559326,38.03439141,39.26613205,39.9611857,37.5504933,37.76164884,37.8848229,37.92001549,37.81443772,38.069584,37.97280438,37.08419148,37.49770441,38.04318956,37.65607107,38.30713398,37.11058593,36.73226559,35.4741305,34.91984721,37.42731923,37.40972294,37.66486922,36.95221927,36.29235821,36.3451471,36.01961564,35.87884528,34.70869167,34.61191205,34.4535454,34.98143424,35.06061757,36.01961564,35.72927678,35.1398009,36.11639527,35.60610271,34.76148056,34.29517874,34.74388426,34.85056968,35.8729716,36.25526101,36.27304191,36.93093532,36.806469,36.95760667,37.05540164,37.02873029,36.17524695,36.27304191,35.66849121,35.88186205,36.13968514,35.46401083,35.07283097,35.43733948,35.16173548,35.06394052,35.73072437,36.34416552,36.55753636,36.27304191,37.14430615,37.24210112,37.47325286,38.43342162,38.0155704,38.47787387,37.7577473,37.91777543,38.31784575,38.75347787,38.30895529,38.18448897,37.95333724,38.07780356,38.90461554,38.9490678,39.15354818,39.22467179,39.08242457,39.54472805,39.08242457,38.17559852,37.84665182,37.34878654,37.52659557,38.29117439,38.78014922,38.11336536,38.19337943,37.97111814,37.85554227,37.97111814,37.69551414,38.16670807,37.53548602,37.27766293,38.48676432,38.88683464,39.06464367,37.98889904,37.91708638,38.25819653,38.29410286,38.99427633,38.76088518,39.04813583,38.87758075,39.03018266,39.76626247,39.82909855,39.66752005,39.4341289,40.28690428,40.04453654,40.58313152,40.32281061,40.02658337,39.99067704,39.88295805,40.10737262,40.14327895,40.10737262,40.41257644,40.44848277,40.60108468,41.0140075,40.87935875,42.81830067,43.05169183,42.40537785,42.74648801,42.71058167,42.62979243,42.79137092,42.60286268,42.36947152,42.72853484,42.961926,42.58490951,42.89908992,42.75546459,42.72853484,43.30303615,43.19531715,42.61183926,42.63876901,42.72853484,42.27970569,42.61183926,42.09119745,42.29765886,42.63876901,42.72853484,43.04271524,42.71058167,43.84163113,43.56335705,43.37484881,43.21327032,43.54540389,44.52385143,44.93677425,45.35867364,45.69080721,46.08898418,45.59126297,45.74510407,46.01658837,45.9260936,45.97134099,46.351419,46.26092424,46.1975779,46.52335906,46.60480435,46.18852842
92116,GMLFD,Global Minerals,OTC,0.075,0.075,0.065,0.065,0.065,0.75,0.75,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.065,1.065,1.065,1.065,1.065,1.065,1.065,1.065,1.065,1.065,1.065,1.065,1.065,1.255,1.255,1.255,1.255,1.255,1.255,1.255,1.255,0.125,0.125,0.125,0.125,1.255,1.255,1.255,1.255,1.255,1.255,1.155,1.155,1.155,1.155,1.155,1.155,1.155,1.155,1.155,1.155,1.155,1.155,1.155,1.155,1.155,1.155,1.155,1.155,1.155,1.155,1.105,1.105,1.105,1.105,1.105,1.105,1.105,1.105,1.105,1.105,1.105,1.105,1.105,1.105,1.105,1.105,1.105,1.105,1.105,1.105,1.105,1.105,1.105,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.515,0.515,0.515,0.515,0.515,0.515,0.515,0.515,0.515,0.515,0.515,0.515,0.515,0.515,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,1.985,1.985,1.625,1.625,1.625,1.625,1.625,1.625,1.625,1.625,2.515,2.525,2.525,2.525,2.525,2.525,2.525,2.525,2.525,2.525,2.525,2.71,2.71,2.71,2.71,2.71,2.915,2.915,2.915,3.205,3.35,3.685,3.645,3.645,3.355,3.355,3.355,3.355,3.09,3.09,3.265,3.265,3.145
91153,HUDRF,Hudson Resources Inc,OTC,0.88,0.83,0.75,0.74,0.7,0.68,0.71,0.74,0.69,0.63,0.66,0.79,0.81,0.81,0.79,0.78,0.77,0.75,0.74,0.75,0.73,0.84,0.91,0.9,0.86,0.84,0.87,0.84,0.82,0.94,0.88,0.89,0.89,0.85,0.79,0.85,0.84,0.82,0.83,0.82,0.82,0.84,0.85,0.8,0.81,0.81,0.86,0.79,0.79,0.83,0.81,0.82,0.9,0.87,0.86,0.85,0.88,0.78,0.79,0.78,0.77,0.79,0.79,0.81,0.78,0.85,0.81,0.81,0.76,0.74,0.7,0.63,0.62,0.66,0.71,0.72,0.67,0.66,0.64,0.64,0.63,0.57,0.58,0.61,0.6,0.59,0.65,0.69,0.59,0.59,0.63,0.62,0.58,0.57,0.59,0.6,0.58,0.6,0.6,0.59,0.63,0.6,0.6,0.59,0.57,0.57,0.61,0.64,0.65,0.58,0.55,0.5,0.48,0.46,0.45,0.45,0.49,0.5,0.5,0.51,0.47,0.49,0.51,0.51,0.51,0.51,0.51,0.52,0.53,0.57,0.56,0.55,0.6,0.57,0.56,0.58,0.55,0.55,0.54,0.62,0.59,0.62,0.62,0.71,0.66,0.64,0.65,0.63,0.62,0.62,0.62,0.62,0.62,0.6,0.58,0.58,0.57,0.58,0.58,0.71,0.76,0.73,0.69,0.68,0.67,0.68,0.67,0.7,0.7,0.75,0.8,0.81,0.81,0.79,0.8,0.82,0.83,0.83,0.8,0.81,0.78,0.84,0.85,0.92,0.94,1.13,1.16,1.36,1.23,1.42,1.51,1.41,1.46,1.26,1.19,1.02,1.12,1.17,1.5,1.35,1.46,1.38,1.47,1.35,1.31,1.23,1.13,1.16,1.21,1.21,1.28,1.31,1.3,1.38,1.33,1.25,1.25,1.29,1.27,1.22,1.23,1.13,1.19,1.15,1.14,1.17,1.25,1.3,1.28,1.28,1.31,1.32,1.35
91190,CBHMY,Cobham PLC,OTC,6.861586196,6.333771873,6.50970998,6.50970998,6.465725454,6.465725454,6.50970998,6.421740927,6.641663561,6.245802819,6.245802819,6.50970998,6.50970998,6.421740927,6.113849238,6.50970998,6.641663561,6.729632615,6.333771873,6.685648088,6.685648088,6.685648088,6.641663561,6.641663561,6.685648088,6.3777564,6.333771873,6.641663561,6.817601669,6.333771873,6.729632615,6.421740927,6.553694507,6.50970998,6.905570723,6.949555249,6.729632615,6.3777564,6.3777564,6.289787346,6.826398574,6.826398574,7.116696452,6.817601669,7.116696452,6.597679034,6.72083571,7.002336682,7.011133587,7.011133587,7.134290262,7.521354099,7.1958686,7.266243843,7.301431465,7.257446938,7.521354099,7.257446938,7.08150883,7.169477884,7.169477884,7.266243843,7.037524303,7.037524303,6.96714906,6.949555249,6.949555249,7.037524303,7.037524303,7.072711925,6.96714906,6.96714906,6.96714906,6.333771873,6.3777564,6.50970998,6.193021387,6.113849238,6.193021387,5.902723509,5.893926604,5.761973023,6.008286374,6.017083279,5.893926604,5.706689842,6.002326835,5.894822474,5.832111596,5.948574654,6.056079015,5.885863777,6.047120319,6.047120319,6.082955106,6.047120319,6.047120319,6.047120319,6.118789893,6.297963828,6.297963828,6.136707286,6.091913803,5.957533351,5.957533351,5.921698564,5.912739867,5.912739867,5.688772448,5.608144177,5.608144177,5.608144177,5.608144177,5.608144177,6.056079015,6.056079015,6.244211648,6.477137764,6.477137764,6.48609646,6.48609646,6.423385583,6.450261673,6.539848641,6.539848641,6.808609544,6.772774757,6.73693997,6.73693997,6.727981273,6.808609544,6.772774757,6.826526938,6.871320421,6.871320421,6.468179067,6.468179067,6.468179067,6.468179067,6.468179067,6.468179067,6.468179067,6.235252951,6.235252951,6.235252951,6.235252951,6.235252951,6.235252951,5.823152899,5.823152899,5.823152899,5.823152899,5.652937661,5.867946383,5.867946383,5.966492048,5.966492048,5.966492048,5.966492048,5.966492048,5.966492048,6.719022576,6.719022576,6.719022576,6.719022576,6.719022576,6.719022576,6.719022576,6.719022576,6.719022576,6.719022576,6.512972551,6.512972551,6.512972551,6.512972551,6.512972551,6.512972551,6.512972551,6.701105183,6.701105183,6.701105183,6.584642125,6.631559279,6.631559279,7.010505523,6.84809999,6.84809999,6.84809999,6.84809999,6.84809999,6.84809999,6.812009872,6.586446631,6.821032401,6.821032401,6.821032401,6.866145049,6.189455327,6.189455327,5.909756908,5.909756908,5.909756908,5.909756908,6.12629762,6.12629762,6.009004734,5.774418964,5.774418964,6.009004734,6.009004734,6.009004734,5.648103549,5.648103549,5.648103549,5.648103549,5.648103549,5.648103549,5.648103549,5.648103549,5.648103549,5.648103549,5.648103549,5.648103549,5.648103549,5.648103549,5.648103549,5.819531612,5.819531612,5.819531612,5.819531612,5.819531612,5.828554142,5.855621731
81208,CFCM',Chief Consolidated Mining Co,OTC,0.1,0.1,0.18,0.18,0.18,0.18,0.18,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.15,0.12,0.18,0.2,0.2,0.2,0.14,0.14,0.14,0.13,0.18,0.12,0.12,0.18,0.17,0.17,0.17,0.17,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.1,0.1,0.15,0.15,0.14,0.08,0.08,0.08,0.14,0.15,0.14,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.1,0.1,0.1,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.13,0.13,0.13,0.13,0.15,0.15,0.13,0.15,0.15,0.15,0.15,0.15,0.15,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.18,0.15,0.15,0.15,0.15,0.15,0.2,0.2,0.2,0.2,0.2,0.24,0.24,0.24,0.24,0.24,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.2,0.2,0.35,0.36,0.36,0.37,0.37,0.37,0.37,0.37,0.35,0.35,0.35,0.35,0.35,0.4,0.42,0.37,0.4,0.4,0.4,0.4,0.4,0.49,0.5,0.5,0.5,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.36,0.3,0.39
5088,NVO,Novo Indust. A/s Ads,NYSE,12.29253048,12.69556427,12.97544884,12.80938399,12.58174454,13.03702345,12.8672268,13.27772418,13.03515755,12.94746038,12.90081295,12.97171704,12.90267885,13.18256342,13.32250571,13.56880414,13.42326416,13.47177748,13.3971416,13.40647108,13.19375881,13.2646629,13.19375881,13.27026059,13.44192313,13.43819133,13.53894978,13.52215671,13.77591872,13.90279973,13.90839742,14.03527843,14.05766919,14.13603687,14.05953509,14.47563015,14.52414348,14.4476417,14.52041169,14.41405555,14.67341525,14.76484421,14.87635514,14.80986651,14.86115774,14.67498959,14.65029381,14.85355904,15.01313174,15.18410249,15.11951354,15.05302492,14.93334539,15.21069794,15.41396317,15.38546805,15.31897942,15.36457162,15.35127389,15.5032479,15.46905375,15.18790184,15.27528689,15.33417682,15.05112524,15.01313174,15.66092092,15.59633197,15.94587218,15.74260695,15.53744205,15.13281127,14.86495709,15.00743272,15.28288559,15.27338722,15.00363336,14.76997334,15.03782752,14.82506391,14.74717724,14.31215166,14.26465978,14.06139455,14.38623898,14.1867731,14.70538439,14.59330356,14.39193801,15.06062362,15.28858462,14.80796684,14.61419998,14.76997334,14.73387951,15.12901192,15.21449729,15.38356837,15.57353587,15.57733522,15.53744205,16.0427556,16.20802733,15.91547738,15.86228648,15.8679855,15.80909558,15.7768011,15.37786935,15.39116707,15.46715407,15.4120635,15.76540305,16.0275582,15.99146438,15.9743673,16.00856145,16.08454846,16.37899808,16.92420482,16.54237014,16.57086526,16.44358704,15.99146438,16.33530556,16.29161303,16.35430231,16.16243513,16.19852896,16.17953221,16.34290426,16.79312724,17.15596517,16.91470644,17.1996577,17.02678727,17.09517557,17.16736322,16.41129256,16.47208216,16.39419548,16.34670361,16.50817599,16.64115324,16.31440913,16.15483643,15.97056795,15.81859395,15.5336427,15.60583035,16.06745138,16.0047621,16.26501758,16.66964836,16.68864511,16.77033114,16.58986201,16.69624381,17.35353137,17.49220765,17.71256995,17.7087706,17.71256995,17.74106508,17.68407483,17.93103258,17.85884493,17.99752121,18.03171536,18.25397734,18.20648546,18.63581202,18.85237497,18.70040097,18.858074,18.39835264,18.65290909,18.82387984,18.95875677,19.06513857,19.1088311,19.35388918,19.3291934,19.24940705,19.12972752,18.21218449,17.28514307,19.07653662,19.02714507,19.04234247,19.35768853,19.11832947,19.23610933,19.87819948,19.90859429,19.78891476,19.86490176,19.85920273,19.95798584,19.71102808,19.89339689,19.73572386,20.05106991,19.86110241,19.89529656,19.67683393,19.5191609,19.61794401,19.61984368,19.99028031,19.89909591,19.62744238,19.84970436,19.4811674,19.08793467,18.88656912,19.25890543,19.60844563,19.72432581,19.65403783,19.76231931,19.89909591,19.74902158,20.50129289,20.75394967,20.6608656,20.63616982,20.61907275,20.8356357,20.6532669,20.47849679,20.46899842,21.1167876
74295,RPBC',Redpoint Bio Crp,OTC,0.13,0.1,0.1,0.14,0.11,0.12,0.14,0.14,0.09,0.1,0.1,0.13,0.13,0.15,0.15,0.15,0.12,0.12,0.11,0.11,0.14,0.14,0.14,0.14,0.1,0.1,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.16,0.16,0.17,0.16,0.16,0.16,0.13,0.16,0.17,0.16,0.15,0.18,0.15,0.18,0.2,0.19,0.19,0.2,0.18,0.2,0.17,0.17,0.18,0.19,0.19,0.19,0.19,0.2,0.21,0.21,0.23,0.23,0.22,0.23,0.22,0.22,0.23,0.22,0.22,0.23,0.19,0.21,0.21,0.17,0.21,0.18,0.18,0.21,0.21,0.21,0.21,0.18,0.17,0.17,0.17,0.15,0.15,0.16,0.16,0.18,0.19,0.19,0.19,0.2,0.16,0.2,0.19,0.19,0.2,0.2,0.2,0.2,0.2,0.19,0.17,0.19,0.18,0.19,0.17,0.16,0.18,0.18,0.18,0.19,0.19,0.17,0.12,0.15,0.13,0.15,0.15,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.13,0.14,0.14,0.14,0.11,0.12,0.11,0.11,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.09,0.11,0.09,0.1,0.1,0.11,0.11,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.13,0.1,0.08,0.1,0.11,0.11,0.12,0.14,0.14,0.14,0.18,0.15,0.14,0.15,0.14,0.15,0.16,0.15,0.14,0.13,0.14,0.14,0.14,0.15,0.15,0.15,0.15,0.17,0.14,0.13,0.13,0.12,0.14,0.14,0.14,0.14,0.14,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.1,0.11,0.12
5261,BDX,Becton Dickinson Co,NYSE,69.14699356,68.95537481,69.347737,69.78572271,68.77288076,69.08312064,70.27845663,69.93171795,68.17065042,68.33489506,68.14327631,68.67250904,68.1067775,68.63601023,69.20174177,70.17808491,70.58869651,71.13617864,70.75294115,70.71644234,71.05405632,71.92090304,71.64716197,71.05405632,72.10339708,72.21289351,71.7931572,71.62891256,71.72015959,71.46345954,71.9401882,72.35274185,71.93102034,71.84850961,72.42608472,72.45358829,72.64611333,72.78363121,72.5177633,73.47122062,73.07700269,72.43525257,72.30690255,71.97685963,72.42608472,72.47192401,72.17855253,72.38941328,71.97685963,71.90351676,71.96769177,72.08687394,72.34357399,72.42608472,72.16938467,71.95852392,71.55513813,71.2709345,71.93102034,73.0311634,72.02269893,70.84004514,71.09674519,70.04244142,69.7123985,70.31747719,70.2257986,70.01493784,69.87741996,69.16232697,69.31818057,68.64892688,67.5304481,69.28150914,68.52974472,68.85061977,68.27304467,67.16373375,67.64046241,68.11719107,67.59462312,65.68770848,65.54102274,65.394337,65.49518344,64.78009046,66.20110857,65.36683342,64.82592975,66.37529789,66.36613003,64.24835464,63.86126084,63.52024964,63.2621871,64.29443724,64.22992161,64.69074756,65.53866732,66.40502011,66.28520537,65.73221422,65.87967852,65.58474991,64.56171629,63.98107559,63.64006438,63.74144609,62.16542133,62.32210215,62.01795702,62.64468032,62.83822722,64.77369623,64.47876762,64.01794167,63.66771394,64.07324078,64.13775641,63.92577648,62.4419169,62.72762899,62.79214463,61.67694582,62.11933873,61.64929626,63.17923843,62.92117589,62.97647501,62.24837,63.40965141,64.88429446,64.93959358,65.61239947,65.99949327,66.06400891,66.24833929,66.71838176,65.5294508,65.49258472,65.40041953,65.0962744,66.34050448,66.66308265,65.7229977,65.27138826,65.44650213,63.87047736,64.29443724,63.43730096,64.25757116,63.83361128,62.84744374,64.07324078,64.76447971,65.08705788,64.69792529,64.58674455,65.62443146,66.03209417,65.95797367,66.32857614,67.21802205,67.40332329,68.07967279,68.1723234,68.2927692,68.07967279,67.73686551,68.82087772,68.76528735,69.32119104,68.71896204,68.65410661,68.83940784,68.25570896,69.36751635,69.60840795,69.04323919,69.25633561,69.41384166,69.99754054,70.43299844,70.48858881,70.53491411,71.17420337,70.73874547,71.24832386,71.34097448,70.78507078,71.25758892,71.09081781,70.55344424,70.77580572,69.96974536,69.75664894,69.84003449,69.98827548,72.49910718,71.8412878,71.85981793,72.06364928,72.43425175,72.5176373,71.59113114,71.70231188,70.97963707,71.13714312,71.98026373,72.11923965,71.9154083,71.00743226,72.37866138,72.41572162,72.31380595,72.20262521,73.95372185,74.82463765,75.53804739,74.9080232,75.39907147,75.47356728,75.8553583,76.38614095,76.74930802,77.65256971,77.32665054,78.94693441,79.34734938,78.08092062,78.04367271,78.57445536,78.81656674
