DDate,CSINumber,Symbol,Exchange,DClose,UnAdjustedClose,TotalVolume,Cash,MarketName,PTB,PSR,DPS
20031009,61447,STI+V',NYSE,22.01494273,27,150,0,Suntrust Cap V,0,0,0
20031010,61447,STI+V',NYSE,21.90079117,26.86,169,0,Suntrust Cap V,0,0,0
20031013,61447,STI+V',NYSE,21.90079117,26.86,69,0,Suntrust Cap V,0,0,0
20031014,61447,STI+V',NYSE,21.86002276,26.81,74,0,Suntrust Cap V,0,0,0
20031015,61447,STI+V',NYSE,21.89263749,26.85,74,0,Suntrust Cap V,0,0,0
20031016,61447,STI+V',NYSE,21.82740803,26.77,128,0,Suntrust Cap V,0,0,0
20031017,61447,STI+V',NYSE,21.81925435,26.76,83,0,Suntrust Cap V,0,0,0
20031020,61447,STI+V',NYSE,21.81925435,26.76,102,0,Suntrust Cap V,0,0,0
20031021,61447,STI+V',NYSE,21.89263749,26.85,157,0,Suntrust Cap V,0,0,0
20031022,61447,STI+V',NYSE,21.89263749,26.85,88,0,Suntrust Cap V,0,0,0
20031023,61447,STI+V',NYSE,21.88448381,26.84,473,0,Suntrust Cap V,0,0,0
20031024,61447,STI+V',NYSE,21.89263749,26.85,27,0,Suntrust Cap V,0,0,0
20031027,61447,STI+V',NYSE,21.86002276,26.81,65,0,Suntrust Cap V,0,0,0
20031028,61447,STI+V',NYSE,21.81925435,26.76,77,0,Suntrust Cap V,0,0,0
20031029,61447,STI+V',NYSE,21.89263749,26.85,267,0,Suntrust Cap V,0,0,0
20031030,61447,STI+V',NYSE,21.86817644,26.82,65,0,Suntrust Cap V,0,0,0
20031031,61447,STI+V',NYSE,21.94155959,26.91,119,0,Suntrust Cap V,0,0,0
20031103,61447,STI+V',NYSE,21.94971327,26.92,38,0,Suntrust Cap V,0,0,0
20031104,61447,STI+V',NYSE,21.88448381,26.84,36,0,Suntrust Cap V,0,0,0
20031105,61447,STI+V',NYSE,21.86002276,26.81,59,0,Suntrust Cap V,0,0,0
20031106,61447,STI+V',NYSE,21.91709854,26.88,118,0,Suntrust Cap V,0,0,0
20031107,61447,STI+V',NYSE,21.90894486,26.87,55,0,Suntrust Cap V,0,0,0
20031110,61447,STI+V',NYSE,21.86817644,26.82,91,0,Suntrust Cap V,0,0,0
20031111,61447,STI+V',NYSE,21.90894486,26.87,48,0,Suntrust Cap V,0,0,0
20031112,61447,STI+V',NYSE,21.85186908,26.8,179,0,Suntrust Cap V,0,0,0
20031113,61447,STI+V',NYSE,21.9334059,26.9,261,0,Suntrust Cap V,0,0,0
20031114,61447,STI+V',NYSE,21.9334059,26.9,54,0,Suntrust Cap V,0,0,0
20031117,61447,STI+V',NYSE,21.86817644,26.82,53,0,Suntrust Cap V,0,0,0
20031118,61447,STI+V',NYSE,21.86002276,26.81,168,0,Suntrust Cap V,0,0,0
20031119,61447,STI+V',NYSE,21.86002276,26.81,80,0,Suntrust Cap V,0,0,0
20031120,61447,STI+V',NYSE,21.89263749,26.85,25,0,Suntrust Cap V,0,0,0
20031121,61447,STI+V',NYSE,21.99048168,26.97,99,0,Suntrust Cap V,0,0,0
20031124,61447,STI+V',NYSE,21.89263749,26.85,66,0,Suntrust Cap V,0,0,0
20031125,61447,STI+V',NYSE,21.87633013,26.83,103,0,Suntrust Cap V,0,0,0
20031126,61447,STI+V',NYSE,21.9334059,26.9,71,0,Suntrust Cap V,0,0,0
20031128,61447,STI+V',NYSE,21.90079117,26.86,31,0,Suntrust Cap V,0,0,0
